Title,ISSN,Type,SJR,Year
"11th International Design Conference, DESIGN 2010",-,conference and proceedings,"0,155",2013
11th International Docomomo Conference: Living the Urban Modernity,-,conference and proceedings,"0,100",2013
11th International Energy Conversion Engineering Conference,-,conference and proceedings,"0,113",2016
"11th International Industrial Simulation Conference 2013, ISC 2013",-,conference and proceedings,"0,104",2016
"11th International Middleware Conference - Industrial Track, Middleware'10",-,conference and proceedings,"0,160",2013
"11th International Multidisciplinary Scientific Geoconference and EXPO - Modern Management of Mine Producing, Geology and Environmental Protection, SGEM 2011",-,conference and proceedings,"0,124",2014
"11th International Probabilistic Safety Assessment and Management Conference and the Annual European Safety and Reliability Conference 2012, PSAM11 ESREL 2012",-,conference and proceedings,"0,155",2015
"11th International Science and Technical Conference Automotive Safety, AUTOMOTIVE SAFETY 2018",-,conference and proceedings,"0,262",2020
11th International Scientific Conference on Monitoring of Geological Processes and Ecological Condition of the Environment,-,conference and proceedings,"0,101",2020
"11th International Scientific and Practical Conference of Students, Postgraduates and Young Scientists; ""Modem Techniques and Technologies"", MTT 2005 - Proceedings",-,conference and proceedings,"0,100",2008
"11th International Symposium on Artificial Intelligence and Mathematics, ISAIM 2010",-,conference and proceedings,"0,142",2013
"11th International Symposium on Communications and Information Technologies, ISCIT 2011",-,conference and proceedings,"0,401",2014
"11th International Symposium on Operations Research and its Applications in Engineering, Technology and Management 2013, ISORA 2013",-,conference and proceedings,"0,105",2016
"11th International Symposium on Practical Design of Ships and Other Floating Structures, PRADS 2010",-,conference and proceedings,"0,288",2013
"11th International Symposium on Turbulence and Shear Flow Phenomena, TSFP 2019",-,conference and proceedings,"0,151",2020
"11th International Topical Meeting on Nuclear Applications of Accelerators, AccApp 2013",-,conference and proceedings,"0,114",2016
"11th International Workshop for Technical, Economic and Legal Aspects of Business Models for Virtual Goods, VIRTUAL GOODS + ODRL 2013, Incorporating the 9th W3C ODRL Community Group Meeting",-,conference and proceedings,"0,105",2016
"11th International Workshop on Data Management on New Hardware, DaMoN 2015 - In conjunction with the ACM SIGMOD/PODS Conference",-,conference and proceedings,"0,246",2018
"11th International Workshop on Image Analysis for Multimedia Interactive Services, WIAMIS 10",-,conference and proceedings,"0,162",2013
"11th International Workshop on Robot Motion and Control, RoMoCo 2017 - Workshop Proceedings",-,conference and proceedings,"0,132",2020
